timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
218089928,0.017563213,0.04297581,0.0004948923,0
218283650,0.017563213,0.04297581,0.0004948923,1
218482338,0.017563213,0.04297581,0.0004948923,1
218681050,0.017563213,0.04297581,0.0004948923,1
218889649,0.017563213,0.04297581,0.0004948923,1
219088337,0.017563213,0.04297581,0.0004948923,1
219282061,0.017563213,0.04297581,0.0004948923,1
219490704,0.017563213,0.04297581,0.0004948923,1
219689378,0.017563213,0.04297581,0.0004948923,1
219888057,0.017563213,0.04297581,0.0004948923,1
220091714,0.017563213,0.04297581,0.0004948923,1
220290401,0.017563213,0.04297581,0.0004948923,1
220499024,0.017563213,0.04297581,0.0004948923,1
220682826,0.017563213,0.04297581,0.0004948923,1
220891433,0.017563213,0.04297581,0.0004948923,1
221090121,0.017563213,0.04297581,0.0004948923,1
221283843,0.017563213,0.04297581,0.0004948923,1
221492465,0.017563213,0.04297581,0.0004948923,1
221696121,0.017563213,0.04297581,0.0004948923,1
221894810,0.017563213,0.04297581,0.0004948923,1
222093497,0.017563213,0.04297581,0.0004948923,1
222292190,0.017563213,0.04297581,0.0004948923,1
222500808,0.017563213,0.04297581,0.0004948923,1
222689564,0.017563213,0.04297581,0.0004948923,1
222893283,0.017563213,0.04297581,0.0004948923,1
223091906,0.017563213,0.04297581,0.0004948923,1
520477951,0.017563213,0.04297581,0.0004948923,1
520681490,0.017563213,0.04297581,0.0004948923,1
520880186,0.017563213,0.04297581,0.0004948923,1
521083840,0.017563213,0.04297581,0.0004948923,1
521282637,0.017563213,0.04297581,0.0004948923,1
521481268,0.017563213,0.04297581,0.0004948923,1
521679914,0.017563213,0.04297581,0.0004948923,1
521878610,0.017563213,0.04297581,0.0004948923,1
522077349,0.017563213,0.04297581,0.0004948923,1
522280955,0.017563213,0.04297581,0.0004948923,1
522489581,0.017563213,0.04297581,0.0004948923,1
522683306,0.017563213,0.04297581,0.0004948923,1
522882056,0.017563213,0.04297581,0.0004948923,1
