timestamp,safety_switch_available,safety_off,override_available,override_enabled
270991244,1,1,0,0
271992052,1,1,0,0
273002846,1,1,0,0
274003583,1,1,0,0
275004356,1,1,0,0
276015214,1,1,0,0
277019643,1,1,0,0
278026764,1,1,0,0
279035317,1,1,0,0
280041932,1,1,0,0
281049079,1,1,0,0
282049923,1,1,0,0
283060655,1,1,0,0
284069219,1,1,0,0
285076071,1,1,0,0
286083044,1,1,0,0
287091615,1,1,0,0
288102593,1,1,0,0
289115482,1,1,0,0
290123920,1,1,0,0
291126983,1,1,0,0
292145596,1,1,0,0
293158571,1,1,0,0
294179447,1,1,0,0
295190187,1,1,0,0
296210985,1,1,0,0
297211739,1,1,0,0
298222523,1,1,0,0
299226609,1,1,0,0
300234095,1,1,0,0
301234994,1,1,0,0
302245669,1,1,0,0
303256458,1,1,0,0
304265100,1,1,0,0
305265774,1,1,0,0
306286574,1,1,0,0
307289626,1,1,0,0
308300419,1,1,0,0
309301187,1,1,0,0
310311997,1,1,0,0
311322773,1,1,0,0
312327090,1,1,0,0
313344338,1,1,0,0
314345204,1,1,0,0
315345958,1,1,0,0
316354438,1,1,0,0
317355286,1,1,0,0
318366096,1,1,0,0
319369062,1,1,0,0
320387674,1,1,0,0
321398441,1,1,0,0
322399139,1,1,0,0
323409954,1,1,0,0
324410762,1,1,0,0
325413753,1,1,0,0
326414640,1,1,0,0
327429022,1,1,0,0
328436128,1,1,0,0
329436892,1,1,0,0
330441333,1,1,0,0
331446196,1,1,0,0
332449202,1,1,0,0
333460055,1,1,0,0
334460772,1,1,0,0
335471558,1,1,0,0
336472319,1,1,0,0
337490825,1,1,0,0
338507329,1,1,0,0
339524692,1,1,0,0
340533315,1,1,0,0
341536242,1,1,0,0
342540756,1,1,0,0
343557912,1,1,0,0
344558652,1,1,0,0
345569364,1,1,0,0
346580246,1,1,0,0
347590962,1,1,0,0
348596464,1,1,0,0
349602483,1,1,0,0
350611014,1,1,0,0
351631849,1,1,0,0
352642604,1,1,0,0
353648970,1,1,0,0
354669831,1,1,0,0
355687191,1,1,0,0
356698046,1,1,0,0
357712161,1,1,0,0
358723115,1,1,0,0
359724049,1,1,0,0
360739101,1,1,0,0
361751873,1,1,0,0
362766245,1,1,0,0
363773420,1,1,0,0
364781922,1,1,0,0
365784994,1,1,0,0
366795745,1,1,0,0
367806521,1,1,0,0
368810834,1,1,0,0
369818117,1,1,0,0
370836631,1,1,0,0
371849627,1,1,0,0
372860434,1,1,0,0
373861262,1,1,0,0
374882008,1,1,0,0
375882748,1,1,0,0
376886784,1,1,0,0
377894295,1,1,0,0
378895254,1,1,0,0
379905951,1,1,0,0
380916646,1,1,0,0
381917407,1,1,0,0
382938204,1,1,0,0
383946704,1,1,0,0
384959773,1,1,0,0
385960538,1,1,0,0
386969033,1,1,0,0
387982110,1,1,0,0
388982913,1,1,0,0
389991442,1,1,0,0
391004465,1,1,0,0
392005279,1,1,0,0
393013847,1,1,0,0
394016820,1,1,0,0
395027655,1,1,0,0
396038336,1,1,0,0
397049121,1,1,0,0
398057673,1,1,0,0
399060763,1,1,0,0
